Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
HAYNES ST,2,0,0,City of Memphis,False,30.0,2
S GERMANTOWN RD,2,0,0,City of Memphis,False,35.0,2
TUTWILER AVE,2,0,0,City of Memphis,False,35.0,2
SHADY GROVE RD,2,0,0,City of Memphis,False,30.0,2
BALTIC ST,2,0,0,City of Memphis,False,30.0,2
CLARKE RD,2,0,1,City of Memphis,False,35.0,2
ETHEL ST,2,0,0,City of Memphis,False,30.0,2
N FRONT ST,2,0,0,City of Memphis,False,30.0,5
WELLONS AVE,2,0,1,City of Memphis,False,30.0,2
CELLA ST,2,0,0,City of Memphis,False,30.0,2
GRACELAND DR,2,0,0,City of Memphis,False,30.0,2
MYNDERS AVE,2,0,0,City of Memphis,False,30.0,2
LESTER ST,2,0,1,City of Memphis,False,30.0,2
FARMVILLE AVE,2,0,1,City of Memphis,False,30.0,2
BREEDLOVE ST,2,0,1,City of Memphis,False,35.0,2
MIDLAND AVE,2,0,0,City of Memphis,False,35.0,2
FINLEY RD,2,0,0,City of Memphis,False,35.0,2
FORD RD,2,0,0,City of Memphis,False,30.0,2
N TREZEVANT ST,2,0,1,TDOT state route,True,30.0,2
TRINITY RD,2,0,0,City of Memphis,False,40.0,3
S FRONT ST,2,0,0,City of Memphis,False,30.0,4
TENNYSON RD,2,0,0,City of Memphis,False,30.0,2
MADEWELL DR,2,0,1,City of Memphis,False,30.0,2
AUSTIN PEAY HWY,2,0,0,TDOT state route,True,45.0,3
HOMER ST,2,0,0,City of Memphis,False,30.0,2
WALKER AVE,2,0,0,City of Memphis,False,35.0,2
NEW ALLEN RD,2,0,2,City of Memphis,False,50.0,2
E TRIGG AVE,2,0,2,City of Memphis,False,35.0,2
BROWN AVE,2,0,0,City of Memphis,False,30.0,2
N CLEVELAND ST,2,0,0,City of Memphis,False,35.0,4
RANGE LINE RD,2,0,1,City of Memphis,False,40.0,4
S DANNY THOMAS BLVD,2,0,0,TDOT state route,False,35.0,4
WINDERMERE DR,2,0,0,City of Memphis,False,30.0,2
WASHINGTON AVE,2,0,1,City of Memphis,False,30.0,2
COTTONWOOD RD,1,1,0,City of Memphis,False,35.0,2
N EVERGREEN ST,1,1,0,City of Memphis,False,35.0,3
DOVECREST RD,1,1,0,City of Memphis,False,30.0,2
INTERSTATE 55 N,1,1,0,Interstate (TDOT),False,65.0,5
HUBBARD AVE,1,1,0,City of Memphis,False,30.0,2
INTERSTATE 240 S,1,1,0,Interstate (TDOT),False,65.0,3
KIRBY WHITTEN RD,1,1,0,City of Memphis,False,45.0,7
40 W TO DANNY THOMAS BLVD,1,1,0,Interstate ramp,False,25.0,1
MARYLAND AVE,1,1,0,City of Memphis,False,30.0,2
SUMMER HILLS CIR,1,1,0,City of Memphis,False,25.0,2
MOUNT HOOD ST,1,1,0,City of Memphis,False,30.0,2
DALLAS ST,1,1,0,City of Memphis,False,30.0,2
A W WILLIS AVE,1,1,0,City of Memphis,False,35.0,5
ALOHA AVE,1,1,0,City of Memphis,False,30.0,2
FAIRBROOK AVE,1,1,0,City of Memphis,False,30.0,2
S AVALON ST,1,1,0,City of Memphis,False,35.0,2
CRUMP RD,1,1,0,City of Memphis,False,30.0,2
N MENDENHALL RD,1,1,0,City of Memphis,False,40.0,4
NEW WILLOW RD,1,1,0,City of Memphis,False,35.0,2
DALTON RD,1,1,0,City of Memphis,False,30.0,2
TAHOE RD,1,1,0,City of Memphis,False,30.0,2
ROZELLE ST,1,1,0,City of Memphis,False,30.0,2
TACOMA AVE,1,1,0,City of Memphis,False,30.0,2
ACCESS RD,1,1,0,City of Memphis,False,35.0,1
COLLEGE ST,1,1,0,City of Memphis,False,30.0,2
RIDGEMONT RD,1,1,0,City of Memphis,False,30.0,4
COURTNEY DR,1,1,0,City of Memphis,False,30.0,2
MILLBRANCH RD OR NONCONNAH BLVD TO 240 E,1,1,0,Interstate ramp,False,45.0,2
TYROL CT,1,1,0,City of Memphis,False,30.0,2
DORADO AVE,1,1,0,City of Memphis,False,30.0,2
E DEMPSTER AVE,1,1,0,City of Memphis,False,30.0,2
BOSTON ST,1,1,0,City of Memphis,False,35.0,2
BURNHAM AVE,1,1,0,City of Memphis,False,30.0,2
WEAVER RD,1,1,0,City of Memphis,False,40.0,5
SAINT JUDE PL,1,0,0,City of Memphis,False,30.0,4
HAWTHORNE ST,1,0,0,City of Memphis,False,30.0,2
ASH ST,1,0,0,City of Memphis,False,25.0,2
PENNEL RD,1,0,0,City of Memphis,False,30.0,2
LILLIAN DR,1,0,0,City of Memphis,False,30.0,2
SILVERAGE AVE,1,0,0,City of Memphis,False,30.0,2
LARCH LN,1,0,0,City of Memphis,False,30.0,2
CROMWELL AVE,1,0,0,City of Memphis,False,35.0,2
SHEFFIELD AVE,1,0,0,City of Memphis,False,30.0,2
E DISON AVE,1,0,0,City of Memphis,False,35.0,2
S TUCKER ST,1,0,0,City of Memphis,False,35.0,2
SHADOWLINE DR,1,0,0,City of Memphis,False,30.0,2
SOUTHLAND DR,1,0,0,City of Memphis,False,30.0,2
NONCONNAH RD,1,0,0,City of Memphis,False,35.0,2
S CLEVELAND ST,1,0,0,City of Memphis,False,35.0,5
DEERFIELD TRCE,1,0,0,City of Memphis,False,30.0,2
RENO AVE,1,0,0,City of Memphis,False,30.0,2
MARLIN RD,1,0,1,City of Memphis,False,35.0,2
WILLOWVIEW AVE,1,0,0,City of Memphis,False,30.0,2
MONTAGUE CV,1,0,0,City of Memphis,False,25.0,2
FRANCISCO BLVD,1,0,0,City of Memphis,False,30.0,2
SANDERS AVE,1,0,0,City of Memphis,False,30.0,2
TWINMONT ST,1,0,0,City of Memphis,False,30.0,2
IVAN RD,1,0,0,City of Memphis,False,30.0,2
REST AREA,1,0,0,City of Memphis,False,25.0,1
MAVERICK AVE,1,0,0,City of Memphis,False,30.0,2
WEATHERS DR,1,0,0,City of Memphis,False,,2
MOUNT MORIAH RD,1,0,1,City of Memphis,False,40.0,7
TULANE RD,1,0,1,City of Memphis,False,35.0,2
S WALNUT BEND RD,1,0,1,City of Memphis,False,30.0,2
WEAKLEY AVE,1,0,0,City of Memphis,False,30.0,2
WINCHESTER RD TO CARGO RD,1,0,0,Interstate ramp,False,30.0,1
LINDEN AVE,1,0,0,City of Memphis,False,30.0,2
OAKWOOD ST,1,0,1,City of Memphis,False,30.0,2
S WALDRAN BLVD,1,0,0,City of Memphis,False,30.0,2
N BELVEDERE BLVD,1,0,1,City of Memphis,False,35.0,2
ETHLYN AVE,1,0,0,City of Memphis,False,30.0,2
BARBWOOD DR,1,0,0,City of Memphis,False,30.0,2
CEDRICK AVE,1,0,0,City of Memphis,False,30.0,2
HERNANDO RD,1,0,0,City of Memphis,False,35.0,2
W DOVE CREEK CIR,1,0,0,City of Memphis,False,30.0,2
BUNTYN ST,1,0,0,City of Memphis,False,30.0,2
FLOYD ALY,1,0,0,City of Memphis,False,30.0,2
ROCHESTER RD,1,0,0,City of Memphis,False,30.0,2
SARATOGA AVE,1,0,1,City of Memphis,False,30.0,2
FREEMAN ST,1,0,0,City of Memphis,False,30.0,2
WAYFARER CIR,1,0,1,City of Memphis,False,30.0,2
ANNES CIR,1,0,0,City of Memphis,False,30.0,2
KANSAS ST,1,0,0,City of Memphis,False,35.0,2
MEADOW DR,1,0,0,City of Memphis,False,30.0,2
HICKORY LEAF DR,1,0,0,City of Memphis,False,30.0,2
HART CV,1,0,0,City of Memphis,False,25.0,2
RAINTREE DR,1,0,0,City of Memphis,False,30.0,2
DAVID ST,1,0,0,City of Memphis,False,35.0,2
ARLINGTON AVE,1,0,0,City of Memphis,False,30.0,2
HENRY AVE,1,0,0,City of Memphis,False,30.0,2
STONEWALL ST,1,0,1,City of Memphis,False,30.0,2
COMANCHE RD,1,0,0,City of Memphis,False,35.0,2
SEA ISLE RD,1,0,0,City of Memphis,False,30.0,2
N SIXTH ST,1,0,0,City of Memphis,False,30.0,2
LAURELCREST DR,1,0,0,City of Memphis,False,30.0,2
N ANGELA RD,1,0,0,City of Memphis,False,30.0,2
S B B KING BLVD,1,0,0,TDOT state route,False,35.0,5
N MONTGOMERY ST,1,0,0,City of Memphis,False,30.0,2
HALE RD,1,0,0,City of Memphis,False,35.0,2
TALL OAKS CIR,1,0,1,City of Memphis,False,30.0,2
VOLTAIRE AVE,1,0,0,City of Memphis,False,30.0,2
FAIRMONT AVE,1,0,0,City of Memphis,False,30.0,2
PEABODY AVE,1,0,0,City of Memphis,False,35.0,4
RUFUS THOMAS BLVD,1,0,0,City of Memphis,False,30.0,2
COMBS ST,1,0,0,City of Memphis,False,30.0,2
MISSISSIPPI BLVD,1,0,0,City of Memphis,False,35.0,2
BASKIN ST,1,0,1,City of Memphis,False,35.0,2
MILLINGTON RD,1,0,1,City of Memphis,False,30.0,2
RALEIGH SPRINGS MALL,1,0,0,City of Memphis,False,,2
FEDEX FORUM ALY,1,0,0,City of Memphis,False,30.0,2
ASHWOOD ST,1,0,0,City of Memphis,False,30.0,2
FLETCHER PARK CIR N,1,0,0,City of Memphis,False,30.0,2
CORNING AVE,1,0,1,City of Memphis,False,35.0,2
COLLINS ST,1,0,0,City of Memphis,False,35.0,2
SALMON DR,1,0,0,City of Memphis,False,30.0,2
WARNER DR,1,0,0,City of Memphis,False,30.0,2
HOSKINS RD,1,0,0,City of Memphis,False,30.0,2
