Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
PERKINS ROAD EXT,2,0,0,City of Memphis,False,35.0,5
GAYOSO AVE,2,0,1,TDOT,True,30.0,1
GRUBER DR,2,0,0,City of Memphis,False,30.0,2
GRACELAND DR,2,0,0,City of Memphis,False,30.0,2
KIMBALL AVE,2,0,1,City of Memphis,False,40.0,2
FARMVILLE AVE,2,0,1,City of Memphis,False,30.0,2
US HIGHWAY 64,2,0,1,TDOT,False,45.0,5
DEADRICK AVE,2,0,2,City of Memphis,False,35.0,2
MADEWELL DR,2,0,1,City of Memphis,False,30.0,2
S LAUDERDALE ST,2,0,1,City of Memphis,True,30.0,2
S DANNY THOMAS BLVD,2,0,0,TDOT,False,35.0,4
MOUNT MORIAH RD,2,0,1,City of Memphis,False,40.0,7
FINLEY RD,2,0,0,City of Memphis,False,35.0,2
NEW ALLEN RD,2,0,2,City of Memphis,False,50.0,2
OUTLAND RD,2,0,1,City of Memphis,False,40.0,5
CLARKE RD,2,0,1,City of Memphis,False,35.0,2
PERSHING AVE,2,0,1,City of Memphis,False,30.0,2
RANGE LINE RD,2,0,1,City of Memphis,False,40.0,4
HICKORY HILL RD,2,0,1,City of Memphis,False,45.0,6
TRINITY RD,2,0,0,City of Memphis,False,40.0,3
CELLA ST,2,0,0,City of Memphis,False,30.0,2
E TRIGG AVE,2,0,2,TDOT,False,35.0,2
AUSTIN PEAY HWY TO JAMES RD,2,0,1,TDOT,False,45.0,1
ELLISTON RD,2,0,2,City of Memphis,False,35.0,2
GREENLAW AVE,2,0,0,City of Memphis,False,30.0,2
GREY RD,2,0,0,City of Memphis,False,30.0,2
BALTIC ST,2,0,0,City of Memphis,True,30.0,2
HOMER ST,2,0,0,City of Memphis,False,30.0,2
OAKWOOD ST,2,0,2,City of Memphis,False,30.0,2
MYNDERS AVE,2,0,0,City of Memphis,False,30.0,2
LOONEY AVE,2,0,0,City of Memphis,False,30.0,2
S FRONT ST,2,0,0,City of Memphis,False,30.0,4
RHODES AVE,2,0,0,City of Memphis,False,35.0,4
WARING RD,2,0,0,City of Memphis,False,35.0,2
MIDLAND AVE,2,0,0,City of Memphis,False,35.0,2
SHADY GROVE RD,2,0,0,City of Memphis,False,30.0,2
S GERMANTOWN RD,2,0,0,City of Memphis,False,35.0,2
N FRONT ST,2,0,0,City of Memphis,False,30.0,5
MONROE AVE,2,0,0,City of Memphis,False,30.0,2
N MAIN ST,2,0,0,City of Memphis,False,35.0,1
STAGE JAMES RD,2,0,0,City of Memphis,False,45.0,7
STATE ROUTE 385 W,2,0,1,TDOT,False,65.0,3
WINDERMERE DR,2,0,0,City of Memphis,False,30.0,2
ETHEL ST,2,0,0,City of Memphis,False,30.0,2
ROZELLE ST,1,1,0,City of Memphis,False,30.0,2
BOSTON ST,1,1,0,City of Memphis,False,35.0,2
SUMMER HILLS CIR,1,1,0,City of Memphis,False,25.0,2
RIDGEMONT RD,1,1,0,City of Memphis,False,30.0,4
INTERSTATE 55 N,1,1,0,City of Memphis,False,65.0,5
WEAVER RD,1,1,0,City of Memphis,False,40.0,5
TAHOE RD,1,1,0,City of Memphis,False,30.0,2
E DEMPSTER AVE,1,1,0,TDOT,False,30.0,2
