MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash
301051473,2025-11-20,2025-11-20 18:47:00,2025,11,Thursday,18,35.220684,-89.89256,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301052724,2025-11-24,2025-11-24 17:10:00,2025,11,Monday,17,35.202858,-89.762054,Possible Injury,Pedestrian,Not Intersection-Other Not On Roadway,Non-Junction,Dark-Lighted,Angle,Other,1
301052173,2025-11-24,2025-11-24 14:25:00,2025,11,Monday,14,35.09104,-89.97626,No Injury,Pedestrian,Unknown,Non-Junction,Daylight,Angle,Other,1
301054243,2025-12-05,2025-12-05 15:30:00,2025,12,Friday,15,35.225365,-90.0149,Suspected Serious Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301053768,2025-11-25,2025-11-25 16:25:00,2025,11,Tuesday,16,35.205933,-89.833863,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301055168,2025-12-10,2025-12-10 14:29:00,2025,12,Wednesday,14,35.14758,-89.972,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301052190,2025-11-24,2025-11-24 18:09:00,2025,11,Monday,18,35.149635,-89.95802,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300990561,2024-12-11,2024-12-11 12:05:00,2024,12,Wednesday,12,35.086437,-90.052216,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301054684,2025-12-08,2025-12-08 17:36:00,2025,12,Monday,17,35.048786,-89.85183,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2
301056323,2025-12-17,2025-12-17 15:45:00,2025,12,Wednesday,15,35.132732,-90.02082,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301052791,2025-11-26,2025-11-26 19:00:00,2025,11,Wednesday,19,35.355255,-89.89611,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Through Roadway,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301051801,2025-11-21,2025-11-21 08:44:00,2025,11,Friday,8,35.211243,-90.003685,Possible Injury,Pedestrian,Intersection-Unknown,Unknown,Daylight,HeadOn,Other,1
301051244,2025-11-19,2025-11-19 18:50:00,2025,11,Wednesday,18,35.059425,-89.933105,Possible Injury,Pedestrian,Not Intersection-Other Not On Roadway,OtherLocation,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301053066,2025-11-29,2025-11-29 23:30:00,2025,11,Saturday,23,35.10252,-89.95032,No Injury,Pedestrian,Not Intersection-Other Not On Roadway,"Driveway, Alley Access, etc",Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1
301051261,2025-11-17,2025-11-17 14:00:00,2025,11,Monday,14,35.21121,-89.92298,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301044384,2025-10-12,2025-10-12 19:54:00,2025,10,Sunday,19,35.176033,-90.02306,Suspected Minor Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Through Roadway,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057693,2025-12-25,2025-12-25 20:05:00,2025,12,Thursday,20,35.074375,-89.87543,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301059757,2026-01-08,2026-01-08 15:21:00,2026,1,Thursday,15,35.145103,-90.04395,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301058874,2026-01-03,2026-01-03 19:20:00,2026,1,Saturday,19,35.161633,-89.86254,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057361,2025-12-22,2025-12-22 20:30:00,2025,12,Monday,20,35.06371,-90.05863,Suspected Serious Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057976,2025-12-27,2025-12-27 19:10:00,2025,12,Saturday,19,35.148262,-90.043564,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057091,2025-12-21,2025-12-21 18:10:00,2025,12,Sunday,18,35.143856,-90.03177,Suspected Serious Injury,Pedestrian,Intersection-Not on Roadway,Unknown,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301008385,2025-03-25,2025-03-25 15:35:00,2025,3,Tuesday,15,35.137856,-90.001114,Fatal,Pedestrian,Not Intersection-Adjacent to Roadway,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057712,2025-12-26,2025-12-26 02:00:00,2025,12,Friday,2,35.119633,-89.99188,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301058917,2026-01-02,2026-01-02 00:20:00,2026,1,Friday,0,35.13988,-90.02668,No Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301058919,2026-01-03,2026-01-03 23:42:00,2026,1,Saturday,23,35.1548,-89.886604,Possible Injury,Pedestrian,Intersection-In Crosswalk,Entrance/Exit Ramp Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301061600,2026-01-20,2026-01-20 17:24:00,2026,1,Tuesday,17,35.036057,-90.069336,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Unknown,Other,1
301060621,2026-01-14,2026-01-14 04:36:00,2026,1,Wednesday,4,35.1033,-89.992615,Unknown,Pedestrian,Not Intersection-Unknown,Unknown,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301059376,2026-01-06,2026-01-06 12:20:00,2026,1,Tuesday,12,35.02266,-89.9345,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301058765,2026-01-02,2026-01-02 17:30:00,2026,1,Friday,17,35.046204,-89.79473,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301058414,2025-12-20,2025-12-20 18:55:00,2025,12,Saturday,18,35.242894,-89.920229,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057473,2025-12-23,2025-12-23 17:33:00,2025,12,Tuesday,17,35.213696,-90.00357,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301059414,2026-01-05,2026-01-05 19:17:00,2026,1,Monday,19,35.163197,-89.85637,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057899,2025-12-27,2025-12-27 17:20:00,2025,12,Saturday,17,35.035698,-90.007935,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057002,2025-12-20,2025-12-20 22:00:00,2025,12,Saturday,22,35.20964,-90.02685,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301061277,2026-01-18,2026-01-18 13:08:00,2026,1,Sunday,13,35.139084,-89.785225,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301056819,2025-12-19,2025-12-19 17:45:00,2025,12,Friday,17,35.103554,-89.98652,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301061287,2026-01-17,2026-01-17 19:00:00,2026,1,Saturday,19,35.09897,-89.86536,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301059924,2026-01-09,2026-01-09 18:25:00,2026,1,Friday,18,35.107418,-90.04249,Possible Injury,Pedestrian,Intersection-Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301059929,2026-01-09,2026-01-09 17:48:00,2026,1,Friday,17,35.135468,-90.00271,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301057661,2025-12-22,2025-12-22 18:38:00,2025,12,Monday,18,35.1079,-89.94604,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301060538,2026-01-13,2026-01-13 15:53:00,2026,1,Tuesday,15,35.10859,-89.946175,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301062053,2026-01-22,2026-01-22 15:58:00,2026,1,Thursday,15,35.13786,-90.016525,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,"Driveway, Alley Access, etc",Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301061771,2026-01-21,2026-01-21 18:15:00,2026,1,Wednesday,18,35.19937,-90.00779,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301062344,2026-01-20,2026-01-20 19:20:00,2026,1,Tuesday,19,35.179695,-89.97139,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301014726,2025-04-28,2025-04-28 01:39:00,2025,4,Monday,1,35.108875,-89.98901,Fatal,Pedestrian,Not Intersection-Unknown,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301062486,2026-01-27,2026-01-27 09:30:00,2026,1,Tuesday,9,35.180393,-89.783936,No Injury,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301061942,2026-01-22,2026-01-22 13:28:00,2026,1,Thursday,13,35.193665,-89.792496,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301062364,2026-01-25,2026-01-25 14:52:00,2026,1,Sunday,14,35.143955,-90.01564,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301066633,2026-02-23,2026-02-23 15:40:00,2026,2,Monday,15,35.2196,-90.00334,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301034236,2025-08-16,2025-08-16 22:39:00,2025,8,Saturday,22,35.187468,-89.809193,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Entrance/Exit Ramp Related,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301063761,2026-02-05,2026-02-05 22:30:00,2026,2,Thursday,22,35.20396,-89.91622,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301065903,2026-02-18,2026-02-18 18:40:00,2026,2,Wednesday,18,35.143955,-90.01564,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301055319,2025-12-11,2025-12-11 18:50:00,2025,12,Thursday,18,35.02042,-89.82671,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301066918,2026-02-24,2026-02-24 18:25:00,2026,2,Tuesday,18,35.079853,-90.01907,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301065910,2026-02-17,2026-02-17 23:53:00,2026,2,Tuesday,23,35.16971,-89.93218,No Injury,Other Non-Motorist,Not Intersection-Unknown,Through Roadway,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1
301063378,2026-02-03,2026-02-03 20:18:00,2026,2,Tuesday,20,35.11533,-90.02302,Possible Injury,Pedestrian,Intersection-Unknown,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301049296,2025-11-04,2025-11-04 09:55:00,2025,11,Tuesday,9,35.17046,-90.018524,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Daylight,Unknown,Other,2
301065744,2026-02-17,2026-02-17 18:05:00,2026,2,Tuesday,18,35.077816,-90.02018,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,"Driveway, Alley Access, etc",Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301065922,2026-02-18,2026-02-18 19:25:00,2026,2,Wednesday,19,35.136402,-90.01229,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301063844,2026-02-05,2026-02-05 18:03:00,2026,2,Thursday,18,35.203408,-89.868311,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301065945,2026-02-12,2026-02-12 18:40:00,2026,2,Thursday,18,35.234871,-89.893177,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301064945,2026-02-10,2026-02-10 06:15:00,2026,2,Tuesday,6,35.108124,-89.97131,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301056159,2025-12-16,2025-12-16 17:34:00,2025,12,Tuesday,17,35.053406,-89.88612,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2
301066210,2026-02-20,2026-02-20 12:00:00,2026,2,Friday,12,35.108547,-89.98474,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301064679,2026-02-11,2026-02-11 19:00:00,2026,2,Wednesday,19,35.116024,-90.05953,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301064069,2026-02-07,2026-02-07 17:00:00,2026,2,Saturday,17,35.108543,-89.98489,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300964552,2024-07-02,2024-07-02 22:59:00,2024,7,Tuesday,22,35.063282,-90.07291,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,SharedUsePathOrTrail,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301065988,2026-02-19,2026-02-19 08:40:00,2026,2,Thursday,8,35.104794,-90.00043,Suspected Minor Injury,Pedestrian,Intersection-Not on Roadway,Through Roadway,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301066234,2026-02-20,2026-02-20 19:48:00,2026,2,Friday,19,35.05938,-89.92223,Suspected Minor Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301066238,2026-02-20,2026-02-20 19:00:00,2026,2,Friday,19,35.243095,-89.92586,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2
301066825,2026-02-20,2026-02-20 08:25:00,2026,2,Friday,8,35.205045,-89.859643,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301064481,2026-02-10,2026-02-10 18:45:00,2026,2,Tuesday,18,35.13938,-89.95824,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301042813,2025-10-02,2025-10-02 20:05:00,2025,10,Thursday,20,35.11538,-89.99917,Fatal,Pedestrian,Intersection-Not on Roadway,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2
301066599,2026-02-23,2026-02-23 10:10:00,2026,2,Monday,10,35.148514,-90.04872,Possible Injury,Pedestrian,Intersection-Not on Roadway,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301064499,2026-02-10,2026-02-10 17:00:00,2026,2,Tuesday,17,35.15055,-89.97693,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,2
301068787,2026-03-07,2026-03-07 21:25:00,2026,3,Saturday,21,35.107857,-89.962135,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301068410,2026-03-05,2026-03-05 15:47:00,2026,3,Thursday,15,35.137707,-89.999671,Fatal,Pedestrian,Not Intersection-In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301065286,2026-02-15,2026-02-15 01:30:00,2026,2,Sunday,1,35.136803,-89.99027,Suspected Minor Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301039285,2025-09-14,2025-09-14 01:09:00,2025,9,Sunday,1,35.059162,-89.93354,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300996151,2025-01-12,2025-01-12 19:16:00,2025,1,Sunday,19,35.122568,-90.054533,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301050532,2025-11-15,2025-11-15 09:00:00,2025,11,Saturday,9,35.182857,-89.856219,Fatal,Pedestrian,Intersection-Not on Roadway,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301067720,2026-03-01,2026-03-01 20:47:00,2026,3,Sunday,20,35.242843,-89.919394,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301068022,2026-03-03,2026-03-03 16:42:00,2026,3,Tuesday,16,35.051945,-90.00755,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301067817,2026-03-02,2026-03-02 12:10:00,2026,3,Monday,12,35.143955,-90.01564,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301068051,2026-03-03,2026-03-03 20:00:00,2026,3,Tuesday,20,35.160507,-90.03022,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Unknown,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301069129,2026-03-10,2026-03-10 07:20:00,2026,3,Tuesday,7,35.21943,-89.97326,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301069855,2026-03-13,2026-03-13 19:00:00,2026,3,Friday,19,35.01912,-90.04311,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,"Driveway, Alley Access, etc",Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301069704,2026-03-13,2026-03-13 08:00:00,2026,3,Friday,8,35.075638,-89.92319,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,2
301063435,2026-02-04,2026-02-04 10:15:00,2026,2,Wednesday,10,35.232418,-89.879906,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301074929,2026-04-12,2026-04-12 23:00:00,2026,4,Sunday,23,35.099876,-89.86282,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301066701,2026-02-23,2026-02-23 22:18:00,2026,2,Monday,22,35.19489,-89.79239,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301073157,2026-04-02,2026-04-02 20:32:00,2026,4,Thursday,20,35.051453,-90.00747,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301072316,2026-03-28,2026-03-28 16:50:00,2026,3,Saturday,16,35.09949,-89.86321,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301009788,2025-04-01,2025-04-01 21:16:00,2025,4,Tuesday,21,35.14281,-89.95136,Fatal,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301073793,2026-04-05,2026-04-05 16:34:00,2026,4,Sunday,16,35.104935,-90.04287,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301071113,2026-03-22,2026-03-22 01:30:00,2026,3,Sunday,1,35.020687,-89.95011,Suspected Serious Injury,Pedestrian,Not Intersection-Bike Path,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301074948,2026-04-12,2026-04-12 21:32:00,2026,4,Sunday,21,35.125786,-90.00115,Suspected Serious Injury,Pedestrian,Not Intersection-Outside Traffic,"Driveway, Alley Access, etc",Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301075525,2026-04-15,2026-04-15 19:39:00,2026,4,Wednesday,19,35.11159,-90.05228,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Through Roadway,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301074651,2026-04-10,2026-04-10 15:57:00,2026,4,Friday,15,35.107227,-89.98316,No Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301033012,2025-08-10,2025-08-10 01:02:00,2025,8,Sunday,1,35.054753,-89.8291,Fatal,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Dark-Lighted,Rear to Side,Other,1
301076080,2026-04-18,2026-04-18 23:25:00,2026,4,Saturday,23,35.115795,-90.04454,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301006644,2025-03-16,2025-03-16 01:59:00,2025,3,Sunday,1,35.168148,-89.86397,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301075323,2026-04-14,2026-04-14 01:40:00,2026,4,Tuesday,1,35.09949,-89.86321,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,OtherLocation,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301075328,2026-04-14,2026-04-14 17:39:00,2026,4,Tuesday,17,35.064632,-89.86523,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301071963,2026-03-26,2026-03-26 16:00:00,2026,3,Thursday,16,35.031788,-90.03665,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301074437,2026-04-09,2026-04-09 20:00:00,2026,4,Thursday,20,35.21758,-89.994064,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Intersection-Related,Dawn,Angle,Other,1
301072757,2026-03-31,2026-03-31 19:54:00,2026,3,Tuesday,19,35.099113,-89.8451,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301071051,2026-03-21,2026-03-21 21:20:00,2026,3,Saturday,21,35.064884,-89.93243,Fatal,Pedestrian,Intersection-Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301074447,2026-04-09,2026-04-09 19:18:00,2026,4,Thursday,19,35.221107,-89.97553,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301071977,2026-03-26,2026-03-26 21:05:00,2026,3,Thursday,21,35.07205,-89.93236,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301076761,2026-04-22,2026-04-22 13:07:00,2026,4,Wednesday,13,35.00787,-90.046455,No Injury,Pedestrian,Not Intersection-Adjacent to Roadway,SharedUsePathOrTrail,Daylight,Not Collision with Motor Vehicle in Transport,Other,2
301075347,2026-04-14,2026-04-14 20:20:00,2026,4,Tuesday,20,35.20799,-89.91052,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Through Roadway,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1
