MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash
300892265,2023-06-11,2023-06-11 00:00:00,2023,6,Sunday,99,35.16209,-89.91707,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,Intersection,Unknown,Unknown,Other,1
300892030,2023-06-06,2023-06-06 19:11:00,2023,6,Tuesday,19,35.20584,-89.913925,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300872217,2023-03-09,2023-03-09 18:57:00,2023,3,Thursday,18,35.013317,-89.84866,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300891777,2023-06-07,2023-06-07 21:20:00,2023,6,Wednesday,21,35.076996,-89.98512,Unknown,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300876543,2023-03-29,2023-03-29 19:43:00,2023,3,Wednesday,19,35.10074,-89.96993,Suspected Serious Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300863821,2023-01-29,2023-01-29 17:40:00,2023,1,Sunday,17,35.05482,-89.92932,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300893336,2023-06-15,2023-06-15 08:24:00,2023,6,Thursday,8,35.21066,-90.025536,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300892821,2023-06-09,2023-06-09 21:15:00,2023,6,Friday,21,35.09124,-89.899216,Possible Injury,Pedestrian,Intersection-Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300890314,2023-05-31,2023-05-31 22:29:00,2023,5,Wednesday,22,35.1069,-90.02119,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk availability Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300893873,2023-06-18,2023-06-18 21:10:00,2023,6,Sunday,21,35.1949,-89.83339,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300893100,2023-06-15,2023-06-15 02:00:00,2023,6,Thursday,2,35.156994,-90.03326,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300891062,2023-06-05,2023-06-05 00:15:00,2023,6,Monday,0,35.040165,-90.03468,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300893127,2023-06-14,2023-06-14 10:35:00,2023,6,Wednesday,10,35.15142,-89.910805,Possible Injury,Pedestrian,Intersection-Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
