MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Jurisdiction_prev,Seg_OBJECTID,DistToSeg_m
301032024,8/4/2025,8/4/2025 21:00,2025,8,Monday,21,35.10065,-90.04417,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1040.575779,E DISON AVE,0.067611919,35,2,B,MEMPHIS,SHELBY,City of Memphis,4907,0.067611919
301029922,7/22/2025,7/22/2025 21:14,2025,7,Tuesday,21,35.02085,-89.96364,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,E SHELBY DR,Principal Arterial,45,6,175,3,4.939292729,E SHELBY DR,0.254631177,45,6,B,TENNESSEE AIR NATIONAL GUARD,SHELBY,TDOT,47833,0.254631177
300997390,1/19/2025,1/19/2025 18:57,2025,1,Sunday,18,35.05229,-89.953426,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Non-Junction,Dark-Lighted,Front to Rear,Other,1,TRUE,City of Memphis,,,,,,,1759.297082,WINCHESTER RD,1.688572217,45,7,B,MEMPHIS,SHELBY,City of Memphis,52762,1.688572217
301033189,8/10/2025,8/10/2025 1:02,2025,8,Sunday,1,35.055305,-89.83002,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Front to Rear,Other,1,TRUE,TDOT state route,STATE ROUTE 385,Freeway and Expressway,65,3,NONCONNAH PKWY,2,6.661145049,STATE ROUTE 385 W,3.049179582,65,3,FT,MEMPHIS,SHELBY,TDOT,47696,3.049179582
301032519,8/7/2025,8/7/2025 10:12,2025,8,Thursday,10,35.053303,-90.020355,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,427.0344622,ROYAL OAKS CV,62.16074395,35,2,B,MEMPHIS,SHELBY,City of Memphis,15075,62.16074395
301034117,8/16/2025,8/16/2025 0:00,2025,8,Saturday,99,35.13734,-90.02782,Possible Injury,Pedestrian,Intersection-Unknown,Non-Junction,Unknown,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,71.60708276,S PAULINE ST,35.26599261,30,4,B,MEMPHIS,SHELBY,City of Memphis,84368,35.26599261
301032286,8/5/2025,8/5/2025 14:40,2025,8,Tuesday,14,35.133526,-90.026024,Suspected Minor Injury,Pedestrian,Not Intersection-Bike Path,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,S SOMERVILLE ST,Minor Arterial,30,2,208,6,0.260853083,VANCE AVE,0.015517276,30,2,B,MEMPHIS,SHELBY,TDOT,3681,0.015517276
301032288,8/6/2025,8/6/2025 3:59,2025,8,Wednesday,3,35.105316,-89.87507,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,POPLAR AVE,Principal Arterial,40,6,57,5,10.03147165,POPLAR AVE,14.44755997,40,6,B,MEMPHIS,SHELBY,TDOT,47151,14.44755997
300919809,10/27/2023,10/27/2023 13:46,2023,10,Friday,13,35.07241,-89.90506,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,2441.227577,S PERKINS RD,39.97400178,40,7,B,MEMPHIS,SHELBY,City of Memphis,49379,39.97400178
301000434,2/7/2025,2/7/2025 14:00,2025,2,Friday,14,35.08563,-89.895996,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1829.491498,WILLOW RD,0.086328051,40,4,B,MEMPHIS,SHELBY,City of Memphis,51544,0.086328051
