MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Seg_OBJECTID,DistToSeg_m,Ownership,Rule_Fired,Classification_Basis,Matched_Street,is_limited_access,is_override,is_corner_case,Jurisdiction_prev
301034356,8/18/2025,8/18/2025 4:45,2025,8,Monday,4,35.148262,-90.043564,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,N DANNY THOMAS BLVD,Principal Arterial,35.0,7.0,1,7.0,1.328284309,POPLAR AVE,0.034022355,35,5,B,MEMPHIS,SHELBY,50319,0.03402235479508883,City of Memphis,city_residual,city: no state-route overlap,POPLAR AVE,False,False,False,City of Memphis
300991906,12/4/2024,12/4/2024 19:25,2024,12,Wednesday,19,35.148996,-90.048507,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,N THIRD ST,Minor Arterial,35.0,3.0,3,6.0,2.567089213,N B B KING BLVD,0.763108313,35,3,FT,MEMPHIS,SHELBY,50301,0.7631083128600777,TDOT state route,state_route_overlap,"state route: 100% overlap, name=N B B KING",N B B KING BLVD,False,False,False,TDOT state route
300962694,6/13/2024,6/13/2024 1:16,2024,6,Thursday,1,35.159723,-89.858915,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1541.377893,DOVECREST RD,39.18290254,30,2,B,MEMPHIS,SHELBY,76111,39.18290254271341,City of Memphis,city_residual,city: no state-route overlap,DOVECREST RD,False,False,False,City of Memphis
301030303,7/26/2025,7/26/2025 4:59,2025,7,Saturday,4,35.170383,-89.86749,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,184.4845471,SYCAMORE VIEW RD,54.69043662,45,7,B,MEMPHIS,SHELBY,53753,54.690436617447936,City of Memphis,city_residual,city: no state-route overlap,SYCAMORE VIEW RD,False,False,False,City of Memphis
301031687,8/2/2025,8/2/2025 23:07,2025,8,Saturday,23,35.104187,-90.05545,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,1,True,S THIRD ST,Principal Arterial,40.0,4.0,14,6.0,0.489284022,S THIRD ST,0.123839134,40,4,B,MEMPHIS,SHELBY,46928,0.12383913371297746,TDOT state route,state_route_overlap,"state route: 100% overlap, name=S THIRD",S THIRD ST,False,False,False,TDOT state route
301031510,8/1/2025,8/1/2025 2:15,2025,8,Friday,2,35.09891,-90.06958,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,AccelDecelLane,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1269.823507,SILVERAGE AVE,19.88381214,30,2,B,MEMPHIS,SHELBY,4659,19.883812135162213,City of Memphis,city_residual,city: no state-route overlap,SILVERAGE AVE,False,False,False,City of Memphis
301034223,8/16/2025,8/16/2025 23:05,2025,8,Saturday,23,35.090984,-89.840256,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,812.728037,LARCH LN,0.024511828,30,2,B,MEMPHIS,SHELBY,41328,0.024511828060204938,City of Memphis,city_residual,city: no state-route overlap,LARCH LN,False,False,False,City of Memphis
301014505,4/26/2025,4/26/2025 12:50,2025,4,Saturday,12,35.072969,-90.027998,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,645.9699922,INTERSTATE 240 W,0.31748113,65,3,FT,MEMPHIS,SHELBY,39636,0.31748113014207396,Interstate (TDOT),interstate_mainline,interstate: MTFCC S1100,INTERSTATE 240 W,True,False,False,Interstate (TDOT)
301031268,7/31/2025,7/31/2025 14:10,2025,7,Thursday,14,35.04631,-89.90489,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1369.197112,CROMWELL AVE,0.065969939,35,2,B,MEMPHIS,SHELBY,2156,0.06596993948837913,City of Memphis,city_residual,city: no state-route overlap,CROMWELL AVE,False,False,False,City of Memphis
301033376,8/12/2025,8/12/2025 7:18,2025,8,Tuesday,7,35.062172,-89.91987,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1019.013758,SHEFFIELD AVE,58.86046773,30,2,B,MEMPHIS,SHELBY,2104,58.86046773292045,City of Memphis,city_residual,city: no state-route overlap,SHEFFIELD AVE,False,False,False,City of Memphis
