MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Jurisdiction_prev
301068410,2026-03-05,2026-03-05 15:47:00,2026,3,Thursday,15,35.137707,-89.999671,Fatal,Pedestrian,Not Intersection-In Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,278.0915883459591,City of Memphis
301065286,2026-02-15,2026-02-15 01:30:00,2026,2,Sunday,1,35.136803,-89.99027,Suspected Minor Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,286.27204832771423,City of Memphis
301039285,2025-09-14,2025-09-14 01:09:00,2025,9,Sunday,1,35.059162,-89.93354,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,84.94960679242087,City of Memphis
300996151,2025-01-12,2025-01-12 19:16:00,2025,1,Sunday,19,35.122568,-90.054533,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,41.74652639471779,City of Memphis
301050532,2025-11-15,2025-11-15 09:00:00,2025,11,Saturday,9,35.182857,-89.856219,Fatal,Pedestrian,Intersection-Not on Roadway,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,85.60819612462397,City of Memphis
301067720,2026-03-01,2026-03-01 20:47:00,2026,3,Sunday,20,35.242843,-89.919394,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,2239.635078466652,City of Memphis
301068022,2026-03-03,2026-03-03 16:42:00,2026,3,Tuesday,16,35.051945,-90.00755,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1596.3703471334604,City of Memphis
301067817,2026-03-02,2026-03-02 12:10:00,2026,3,Monday,12,35.143955,-90.01564,Suspected Minor Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,789.8753669471429,City of Memphis
301068051,2026-03-03,2026-03-03 20:00:00,2026,3,Tuesday,20,35.160507,-90.03022,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Unknown,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,379.9663692340961,City of Memphis
301069129,2026-03-10,2026-03-10 07:20:00,2026,3,Tuesday,7,35.21943,-89.97326,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,4109.482548723694,City of Memphis
